client_id,car_type,model_year,model_month
M2210703890,Niro,2021,01
M2210703891,Niro,2021,01
M2210703892,Niro,2021,01
M2210703893,Niro,2021,01
M2210703894,Niro,2021,01
M2210703895,Niro,2021,01
M2210703896,Niro,2021,01
M2210703897,Niro,2021,01
M2210703898,Niro,2021,01
M2210703899,Niro,2021,01
M2210703900,Niro,2021,01
M2210703901,Niro,2021,01
M2210703902,Niro,2021,01
M2210703903,Niro,2021,01
M2210703904,Niro,2021,01
M2210703905,Niro,2021,01
M2210703906,Niro,2021,01
M2210703907,Niro,2021,01
M2210703908,Niro,2021,01
M2210703909,Niro,2021,01
M2210703910,Niro,2021,01
M2210703949,Niro,2021,01
M2210703950,Niro,2021,01
M2210703951,Niro,2021,01
M2210703952,Niro,2021,01
M2210703953,Niro,2021,01
M2210703954,Niro,2021,01
M2210703955,Niro,2021,01
M2210703956,Niro,2021,01
M2210703957,Niro,2021,01
M2210703958,Niro,2021,01
M2210703959,Niro,2021,01
M2210703960,Niro,2021,01
M2210703961,Niro,2021,01
M2210703962,Niro,2021,01
M2210703963,Niro,2021,01
M2210703964,Niro,2021,01
M2210703965,Niro,2021,01
M2210703966,Niro,2021,01
M2210703967,Niro,2021,01
M2210703968,Niro,2021,01
M2210703969,Niro,2021,01
M2210703976,Niro,2021,01
M2210703996,Niro,2021,01
M2210704000,Niro,2021,01
M2210704121,Niro,2021,01
M2210704122,Niro,2021,01
M2210704123,Niro,2021,01
M2210704124,Niro,2021,01
M2210704125,Niro,2021,01
M2210704126,Niro,2021,01
M2210704127,Niro,2021,01
M2210704128,Niro,2021,01
M2210704129,Niro,2021,01
M2210704130,Niro,2021,01
M2210704131,Niro,2021,01
M2210704132,Niro,2021,01
M2210704133,Niro,2021,01
M2210704134,Niro,2021,01
M2210704136,Niro,2021,01
M2210704137,Niro,2021,01
M2211120045,Niro,2021,01
M1200607127,UNKNOWN,2021,01
M1200607141,UNKNOWN,2021,01
M1200607171,UNKNOWN,2021,01
M2210703769,UNKNOWN,2021,01
M2210703805,UNKNOWN,2021,01
M2210703941,UNKNOWN,2021,01
V011AI0001,PORTER2,2023,01
V007AJ0000,NIRO_LONGRANGE,2018,01
V013AK0001,IONIQ6_LONGRANGE,2022,01
V012BE0144,BONGO3,2025,01
V011BE0024,PORTER2,2025,01
V011BE0025,PORTER2,2025,01
V011BE0023,PORTER2,2025,01
V012BE0073,BONGO3,2025,01
V012BE0079,BONGO3,2025,01
V011BE0022,PORTER2,2025,01
V011BE0031,PORTER2,2025,01
V011BE0033,PORTER2,2025,01
V011BE0036,PORTER2,2025,01
V012BE0045,BONGO3,2025,01
V011BE0016,PORTER2,2025,01
V011BE0012,PORTER2,2025,01
V011BE0013,PORTER2,2025,01
V011BE0014,PORTER2,2025,01
V012BE0114,BONGO3,2025,01
V011BE0034,PORTER2,2025,01
V011BE0035,PORTER2,2025,01
V012BE0126,BONGO3,2025,01
V012BE0131,BONGO3,2025,01
V012BE0133,BONGO3,2025,01
V012BE0139,BONGO3,2025,01
V012BE0140,BONGO3,2025,01
V004BA0003,EV6_LONGRANGE,2022,01
V000BD0002,IONIQ5_LONGRANGE,2025,01
V020BD0000,IONIQ,2025,01
V004BE0005,EV6_LONGRANGE,2025,01
V000BD0000,IONIQ5_LONGRANGE,2022,07
V000BA0009,IONIQ5_LONGRANGE,2022,01
V004BA0019,EV6_LONGRANGE,2022,01
V000BA0007,IONIQ5_LONGRANGE,2022,01
V004BA0020,EV6_LONGRANGE,2022,01
V004BA0021,EV6_LONGRANGE,2022,01
V004BA0025,EV6_LONGRANGE,2022,01
V000BA0008,IONIQ5_LONGRANGE,2022,01
V004BA0027,EV6_LONGRANGE,2022,01
V004BA0030,EV6_LONGRANGE,2022,01
V007AL0000,NIRO_LONGRANGE,2018,08
V004AL0000,EV6_LONGRANGE,2023,02
V003BB0003,IONIQ5_LONGRANGE,2022,11
V004BB0000,EV6_LONGRANGE,2023,03
V004AK0001,EV6_LONGRANGE,2022,01
V013BC0000,IONIQ6_LONGRANGE,2023,11
V011BD0000,PORTER2,2023,06
V011BD0012,PORTER2,2023,11
V011BD0002,PORTER2,2023,11
V011BD0004,PORTER2,2023,06
V011BD0005,PORTER2,2023,10
V011BD0001,PORTER2,2025,01
V012BD0017,BONGO3,2023,04
V012BD0018,BONGO3,2025,01
V012BD0019,BONGO3,2025,01
V011BD0008,PORTER2,2023,01
V011BD0009,PORTER2,2023,07
V012BD0025,BONGO3,2023,01
V012BD0027,BONGO3,2023,09
V012BD0031,BONGO3,2023,01
V011BD0013,PORTER2,2023,01
V011BD0010,PORTER2,2023,01
V012BE0000,BONGO3,2025,01
V011BE0005,PORTER2,2025,01
V011BE0007,PORTER2,2025,01
V011BE0008,PORTER2,2025,01
V011BE0001,PORTER2,2025,01
V012BE0016,BONGO3,2025,01
V011BE0009,PORTER2,2025,01
V011BE0002,PORTER2,2025,01
V012BE0021,BONGO3,2025,01
V012BE0022,BONGO3,2025,01
V012BE0023,BONGO3,2025,01
V011BE0004,PORTER2,2025,01
V011BE0006,PORTER2,2025,01
V012BE0033,BONGO3,2025,01
V012BE0031,BONGO3,2025,01
V011BE0011,PORTER2,2025,01
V021BA0000,EV9,2023,12
V004AL0005,EV6_LONGRANGE,2023,07
V018AL0000,NIRO2,2022,07
V016BE0001,GV70,2025,01
V009BE0000,KONA_LONGRANGE,2021,01
V000BE0013,IONIQ5_LONGRANGE,2021,01
V004BE0002,EV6_LONGRANGE,2025,01
V004BE0003,EV6_LONGRANGE,2021,01
V000BE0020,IONIQ5_LONGRANGE,2025,01
V021BE0004,EV9,2025,01
V004BE0008,EV6_LONGRANGE,2025,01
V004BE0004,EV6_LONGRANGE,2025,01
V018BE0000,NIRO2,2024,01
V021BE0000,EV9,2025,01
V009BE0003,KONA_LONGRANGE,2025,01
V004BE0011,EV6_LONGRANGE,2025,01
V016BE0002,GV70,2025,01
V000BE0030,IONIQ5_LONGRANGE,2025,01
V003BF0002,IONIQ5_LONGRANGE,2025,01
V004BF0003,EV6_LONGRANGE,2025,01
V004BF0002,EV6_LONGRANGE,2025,01
V004BF0006,EV6_LONGRANGE,2025,01
V004BF0004,EV6_LONGRANGE,2025,01
V004BG0001,EV6_LONGRANGE,2025,01
V004BG0000,EV6_LONGRANGE,2025,01
V000BG0012,IONIQ5_LONGRANGE,2025,01
V003BE0000,IONIQ5_LONGRANGE,2023,01
V000BE0029,IONIQ5_LONGRANGE,2021,01
V000BE0032,IONIQ5_LONGRANGE,2022,01
V023AL0000,SOUL_LONGRANGE,2019,01
V001BB0001,IONIQ5,2021,10
SITESTEV6,EV6_LONGRANGE,2022,01
V004BE0009,EV6_LONGRANGE,2025,01
V022AK0000,KONA_LONGRANGE,2023,01
V004BA0014,EV6_LONGRANGE,2022,06
HANIONIQ5,IONIQ5_LONGRANGE,2022,01
TESTNIRO01,NIRO_PLUS,2022,01
TESTBONGO,BONGO3,2022,01
TESTEV9,EV9,2025,01
V000BB0002,IONIQ5_LONGRANGE,2022,06
V000BB0001,IONIQ5_LONGRANGE,2022,06
V004AK0000,EV6_LONGRANGE,2021,01
V000AL0003,IONIQ5_LONGRANGE,2021,10
V03BA0023,EV6_LONGRANGE,2022,09
V03BA0024,IONIQ5_LONGRANGE,2022,09
V03BA0025,EV6_LONGRANGE,2022,09
V03BA0027,IONIQ5_LONGRANGE,2022,08
V03BA0028,IONIQ5_LONGRANGE,2022,11
V03BA0030,EV6_LONGRANGE,2022,09
V03BA0031,IONIQ5_LONGRANGE,2023,02
V03BA0032,IONIQ5_LONGRANGE,2023,02
V003AL0003,IONIQ5_LONGRANGE,2022,11
V003BA0012,IONIQ5_LONGRANGE,2023,02
V007AL0001,NIRO_LONGRANGE,2018,08
V000BB0000,IONIQ5_LONGRANGE,2022,04
V012BD0029,BONGO3,2023,10
V007BE0000,NIRO_LONGRANGE,2025,01
V016BF0000,GV70,2025,01
V012BE0042,BONGO3,2025,01
V012BE0056,BONGO3,2025,01
V004BA0004,EV6_LONGRANGE,2022,01
V012BE0040,BONGO3,2025,01
V012BD0026,BONGO3,2023,01
V020BG0011,IONIQ,2017,01
V001BG0000,IONIQ5,2022,02
V020BG0005,IONIQ,2017,01
V020BG0007,IONIQ,2017,01
V020BG0006,IONIQ,2018,01
V020AL0000,IONIQ,2017,01
V020BG0002,IONIQ,2017,01
V020BG0015,IONIQ,2018,01
V020BG0008,IONIQ,2017,01
V020BG0004,IONIQ,2017,01
V020BG0013,IONIQ,2017,01
V020BG0001,IONIQ,2018,01
V000BE0017,IONIQ5_LONGRANGE,2025,01
V000BA0004,IONIQ5_LONGRANGE,2022,01
V000BH0014,IONIQ5_LONGRANGE,2021,10
V012BD0001,BONGO3,2025,01
V011BD0006,PORTER2,2024,01
V011BE0003,PORTER2,2025,01
V012BE0013,BONGO3,2025,01
V012BE0015,BONGO3,2025,01
V011BE0010,PORTER2,2025,01
V012BE0041,BONGO3,2025,01
V009BH0001,KONA_LONGRANGE,2025,01
V000BE0014,IONIQ5_LONGRANGE,2022,01
V004BG0005,EV6_LONGRANGE,2025,01
V003BG0001,IONIQ5_LONGRANGE,2025,01
V004BG0006,EV6_LONGRANGE,2025,01
V000BG0009,IONIQ5_LONGRANGE,2025,01
V004BG0004,EV6_LONGRANGE,2025,01
V004BH0001,EV6_LONGRANGE,2025,01
V009BH0000,KONA_LONGRANGE,2025,01
V004BE0006,EV6_LONGRANGE,2022,01
V003BD0001,IONIQ5_LONGRANGE,2022,11
V012BE0014,BONGO3,2025,01
V012BE0030,BONGO3,2025,01
V000BE0019,IONIQ5_LONGRANGE,2023,01
V009BE0001,KONA_LONGRANGE,2019,01
V000BE0006,IONIQ5_LONGRANGE,2021,02
V000BE0009,IONIQ5_LONGRANGE,2025,01
V003BA0005,IONIQ5_LONGRANGE,2022,12
V012BE0065,BONGO3,2025,01
V012BE0032,BONGO3,2025,01
V018BF0000,NIRO2,2025,01
V003BA0004,IONIQ5_LONGRANGE,2022,10
V011BE0028,PORTER2,2025,01
V011BE0021,PORTER2,2025,01
V011BE0030,PORTER2,2025,01
V004BA0001,EV6_LONGRANGE,2022,01
V003BD0000,IONIQ5_LONGRANGE,2023,03
SITESTKONA,KONA_LONGRANGE,2025,01
V012BE0094,BONGO3,2025,01
V012BE0064,BONGO3,2025,01
V011BE0015,PORTER2,2025,01
V009BA0001,KONA_LONGRANGE,2019,01
V004BA0006,EV6_LONGRANGE,2022,01
V000BF0002,IONIQ5_LONGRANGE,2025,01
V011AK0000,PORTER2,2022,01
V000BA0005,IONIQ5_LONGRANGE,2022,01
V004BA0016,EV6_LONGRANGE,2022,01
V000BE0026,IONIQ5_LONGRANGE,2025,01
V020BA0001,IONIQ,2018,01
V000AL0002,IONIQ5_LONGRANGE,2021,11
V004BD0000,EV6_LONGRANGE,2022,04
V004BA0017,EV6_LONGRANGE,2022,01
V011BE0000,PORTER2,2025,01
V004BA0002,EV6_LONGRANGE,2023,01
V004BA0028,EV6_LONGRANGE,2022,01
V000BC0002,IONIQ5_LONGRANGE,2021,11
WIFITESTKONA,KONA,2025,01
V003AK0001,IONIQ5_LONGRANGE,2025,01
V013AL0000,IONIQ6_LONGRANGE,2025,01
V003BA0022,IONIQ5_LONGRANGE,2025,01
V020BA0000,IONIQ,2025,01
V020BA0002,IONIQ,2025,01
V003BA0002,IONIQ5_LONGRANGE,2025,01
V000BA0006,IONIQ5_LONGRANGE,2025,01
V012BD0028,BONGO3,2025,01
V012BD0005,BONGO3,2025,01
V011BD0003,PORTER2,2025,01
V009BA0000,KONA_LONGRANGE,2025,01
V004BA0015,EV6_LONGRANGE,2025,01
V020BG0010,IONIQ,2017,01
V012BE0136,BONGO3,2025,01
V011BE0018,PORTER2,2025,01
V020BG0014,IONIQ,2017,01
V021BJ0001,EV9,2023,08
V03BA0020,IONIQ5_LONGRANGE,2022,07
V021BJ0002,EV9,2024,07
V004BJ0000,EV6_LONGRANGE,2024,04
V021BI0003,EV9,2024,01
V004BI0000,EV6_LONGRANGE,2024,01
V000BA0010,IONIQ5_LONGRANGE,2022,01
V000BH0002,IONIQ5_LONGRANGE,2025,01
V000BI0008,IONIQ5_LONGRANGE,2024,08
V000BH0015,IONIQ5_LONGRANGE,2025,01
V021BK0000,EV9,2024,09
V015BK0000,GV60,2023,07
V000BI0003,EV3_LONGRANGE,2024,02
V004BI0002,EV6_LONGRANGE,2024,03
V009BL0006,KONA_LONGRANGE,2021,04
V031BL0000,CASPER_LONGRANGE,2024,10
V000BL0011,IONIQ5_LONGRANGE,2022,07
V004CA0001,EV6_LONGRANGE,2022,10
V020CA0000,IONIQ5,2017,10
V026CA000,IONIQ5_N,2024,10
V000CA0004,IONIQ5_LONGRANGE,2021,07
V012BE0141,BONGO3,2025,01
V019CA0000,IONIQ,2020,07
V000CA0027,KONA_LONGRANGE,2023,01
V029BL0000,EV3_LONGRANGE,2024,08
V009BL0002,KONA_LONGRANGE,2020,04
V011BL0000,PORTER2,2023,06
V000CA0022,IONIQ5_LONGRANGE,2022,05
V012BL0000,BONGO3,2023,04
V005CA0000,EV6,2021,08
V009BL0004,KONA_LONGRANGE,2019,01
V015BL0000,GV60,2022,05
V029CA0000,EV3_LONGRANGE,2024,10
V022BL0000,KONA_LONGRANGE,2023,11
V023BI0000,SOUL_LONGRANGE,2019,03
V000CA0025,IONIQ,2016,07
V000CA0021,IONIQ5_LONGRANGE,2023,01
V017BL0000,G80,2022,09
V003CA0000,IONIQ5_LONGRANGE,2023,03
V000CA0016,IONIQ5_LONGRANGE,2024,04
V029BL0001,EV3_LONGRANGE,2024,09
V003BL0001,IONIQ5_LONGRANGE,2023,03
V003CA0002,IONIQ5_LONGRANGE,2023,03
V000BL0007,IONIQ5_LONGRANGE,2022,04
V000BL0009,IONIQ5_LONGRANGE,2021,10
V004CA0000,EV6_LONGRANGE,2020,05
V013BL0002,IONIQ6_LONGRANGE,2025,01
V004BL0002,EV6_LONGRANGE,2025,01
V007BL0000,NIRO_LONGRANGE,2025,01
V013BL0001,IONIQ6_LONGRANGE,2025,01
V003BL0003,IONIQ5_LONGRANGE,2025,01
V000CA0010,IONIQ5_LONGRANGE,2021,11
V013BL0000,IONIQ6_LONGRANGE,2022,07
V004BJ0001,EV6_LONGRANGE,2024,06
V009BH0002,KONA_LONGRANGE,2025,01
V000BE0012,IONIQ5_LONGRANGE,2022,01
V007BF0000,NIRO_LONGRANGE,2025,01
V004BE0007,EV6_LONGRANGE,2025,01
V004BH0002,EV6_LONGRANGE,2023,04
V004BH0000,EV6_LONGRANGE,2025,01
V009BL0003,KONA_LONGRANGE,2018,11
V000BI0011,IONIQ5_LONGRANGE,2024,09
V003CA0001,IONIQ5_LONGRANGE,2023,03
V018BI0000,NIRO2,2022,07
V021BI0001,EV9,2023,07
V004BI0001,EV6_LONGRANGE,2024,07
V000CA0008,CASPER_LONGRANGE,2024,08
V004BL0000,EV6_LONGRANGE,2023,04
V000CA0029,IONIQ6_LONGRANGE,2023,02
V011CA0000,PORTER2,2020,03
V004BK0000,EV6_LONGRANGE,2024,07
V009BL0000,KONA_LONGRANGE,2018,10
V000CB0070,THE_NEW_IONIQ5_LONGRANGE,2024,08
V000CB0069,THE_NEW_IONIQ5_LONGRANGE,2024,09
V000CB0078,NIRO_PLUS,2023,04
V000CB0068,THE_NEW_IONIQ5_LONGRANGE,2024,11
V000CB0089,BONGO3,2023,04
V000CC0007,PORTER2,2024,12
V000CB0021,EV6_LONGRANGE,2022,06
V000CC0050,EV6_LONGRANGE,2024,03
V000CB0063,GV70,2022,10
V000CC0019,IONIQ5_LONGRANGE,2022,07
V000CC0052,EV6_LONGRANGE,2024,11
V000CA0035,ST1,2024,05
V000CC0005,EV6_LONGRANGE,2022,11
V000CC0016,IONIQ5_LONGRANGE,2021,07
V031CA0001,CASPER_LONGRANGE,2024,10
V000CC0029,CASPER_LONGRANGE,2024,10
V000CB0016,EV3_LONGRANGE,2024,11
V000CB0085,EV3_LONGRANGE,2025,02
V000CA0024,CASPER_LONGRANGE,2024,08
V000CB0058,IONIQ5_LONGRANGE,2023,10
V000CB0094,IONIQ5_N,2025,02
V000CB0077,EV6_LONGRANGE,2023,07
V000CB0027,EV6_LONGRANGE,2023,04
V000CB0041,IONIQ5_LONGRANGE,2022,01
V000CC0001,GV70,2021,07
V000CA0034,EV6_LONGRANGE,2022,04
V000CB0046,EV6_LONGRANGE,2023,12
V000CC0020,NIRO_PLUS,2022,07
V000CB0057,IONIQ5_LONGRANGE,2022,03
V000CB0010,EV6_LONGRANGE,2022,05
V000CC0032,THE_NEW_IONIQ5_LONGRANGE,2024,10
V000CB0009,GV70,2022,11
V000CB0036,NIRO_LONGRANGE,2019,10
V000CA0038,ST1,2024,11
V000CB0067,THE_NEW_IONIQ5_LONGRANGE,2024,10
V000CB0096,EV9,2024,04
V000CB0020,IONIQ5_LONGRANGE,2022,03
V000CA0039,ST1,2024,07
V000CB0033,IONIQ5_LONGRANGE,2023,09
V000CC0011,THE_NEW_IONIQ5_LONGRANGE,2024,11
V000CB0015,ST1,2025,07
V000CD0065,PORTER2,2020,02
V000CD0036,ST1,2025,04
V000CD0097,PORTER2,2022,11
V000CD0040,IONIQ5_LONGRANGE,2022,02
V000CD0023,ST1,2024,07
V000CD0041,EV6_LONGRANGE,2024,07
V000CD0034,ST1,2024,05
V000CD0032,THE_NEW_IONIQ5_LONGRANGE,2025,03
V000CD0029,NIRO2,2022,09
V000CD0024,ST1,2024,06
V000CD0043,ST1,2024,08
V000CD0025,BONGO3,2024,06
V000CD0033,IONIQ6,2025,02
V000CD0096,ST1,2024,07
V000CD0037,IONIQ5_LONGRANGE,2023,12
V000CC0085,IONIQ5_LONGRANGE,2021,06
V000CD0095,IONIQ5_LONGRANGE,2023,11
V000CD0027,SOUL_LONGRANGE,2019,06
V000CD0030,BONGO3,2023,04
V000CD0059,EV3_LONGRANGE,2025,04
V000CD0069,ST1,2024,11
V000CE0022,IONIQ5_LONGRANGE,2023,07
V000CD0072,IONIQ5_LONGRANGE,2023,10
V000CD0084,IONIQ5_LONGRANGE,2022,01
V000CD0076,ST1,2024,07
V000CD0081,BONGO3,2022,10
V000CD0064,EV6_LONGRANGE,2022,05
V000CE0010,IONIQ5_LONGRANGE,2021,12
V000CE0018,EV3_LONGRANGE,2024,07
V000CE0007,IONIQ5_LONGRANGE,2022,03
V000CE0014,EV3_LONGRANGE,2025,04
V000CE0019,PORTER2,2023,07
V000CB0006,EV6_LONGRANGE,2023,11
V004CA0002,EV6_LONGRANGE,2022,05
V009BL0001,KONA_LONGRANGE,2018,09
V000CD0078,IONIQ6_LONGRANGE,2023,12
V000CB0039,EV9,2024,01
V000CA0020,KONA_LONGRANGE,2023,02
V000CD0077,EV3,2025,02
V000CD0079,THE_NEW_IONIQ5_LONGRANGE,2025,04
V020BH0001,IONIQ5,2018,07
V000CC0077,EV6_LONGRANGE,2021,09
V000CE0001,EV3_LONGRANGE,2025,04
V000CC0069,BONGO3,2024,12
V000CC0079,EV6_LONGRANGE,2021,09
V000CC0074,IONIQ5_LONGRANGE,2022,06
V000CC0068,EV3,2024,08
V000CC0008,EV6_LONGRANGE,2022,10
V000CC0058,PORTER2,2024,12
V000CC0044,EV3_LONGRANGE,2024,12
V000CB0100,PORTER2,2022,10
V000CC0062,NIRO_LONGRANGE,2019,02
V000CC0066,BONGO3,2024,12
V000CC0063,CASPER_LONGRANGE,2024,10
V000CC0081,EV3_LONGRANGE,2024,08
V000CC0070,EV6_LONGRANGE,2024,08
V003CE0000,SOUL_LONGRANGE,2025,01
V000CB0008,EV6_LONGRANGE,2021,10
V000CE0017,EV3_LONGRANGE,2025,03
V000CC0051,CASPER_LONGRANGE,2025,03
V004CG0022,EV9,2025,05
V03CF0020,NIRO_PLUS,2025,01
V03CD0060,NIRO_PLUS,2025,01
V03CD0061,NIRO_PLUS,2025,01
V03CD0078,NIRO_PLUS,2025,01
V03CD0085,NIRO_PLUS,2025,01
V03CD0086,NIRO_PLUS,2025,01
V03CD0093,NIRO_PLUS,2025,01
V03CD0094,NIRO_PLUS,2025,01
V03CD0097,NIRO_PLUS,2025,01
V03CD0079,NIRO_LONGRANGE,2025,01
V03CD0082,NIRO_LONGRANGE,2025,01
V03CD0062,EV6_LONGRANGE,2025,01
V03CD0063,EV6_LONGRANGE,2025,01
V03CD0064,EV6_LONGRANGE,2025,01
V03CD0067,EV6_LONGRANGE,2025,01
V03CD0072,EV3_LONGRANGE,2025,01
V03CD0059,IONIQ5_LONGRANGE,2025,01
V03CD0080,IONIQ5_LONGRANGE,2025,01
V03CD0081,IONIQ5_LONGRANGE,2025,01
V03CD0083,IONIQ5_LONGRANGE,2025,01
V013CG0047,EV3_LONGRANGE,2024,11
V025CG0062,EV3_LONGRANGE,2025,07
V010CG0041,EV6_LONGRANGE,2021,11
V011CG0043,EV6_LONGRANGE,2022,09
V03CD0121,KONA_LONGRANGE,2025,01
V022CG0059,KONA_LONGRANGE,2018,11
V029CG0068,GV60,2022,05
V015CG0054,G80,2022,04
V03CD0109,NIRO_LONGRANGE,2025,01
V03CD0129,NIRO_PLUS,2025,01
V03CD0106,IONIQ,2025,01
V03CD0108,IONIQ,2025,01
V03CD0117,IONIQ,2025,01
V012CG0046,IONIQ9,2025,05
V03CD0113,IONIQ5_LONGRANGE,2025,01
V03CD0123,IONIQ5_LONGRANGE,2025,01
V03CD0124,IONIQ5_LONGRANGE,2025,01
V03CD0127,IONIQ5_LONGRANGE,2025,01
V026CG0063,IONIQ5_LONGRANGE,2025,01
V027CG0066,IONIQ5_LONGRANGE,2023,04
V015CG0053,THE_NEW_IONIQ5_LONGRANGE,2025,03
V001CG0006,THE_NEW_IONIQ5_LONGRANGE,2025,05
V005CG0023,IONIQ5_LONGRANGE,2022,04
V021CF0098,IONIQ5_LONGRANGE,2021,11
V007CG0005,IONIQ9,2025,04
V003CG0016,CASPER_LONGRANGE,2024,10
V025CF0138,CASPER_LONGRANGE,2025,01
V026CF0147,CASPER_LONGRANGE,2024,08
V026CF0145,EV3_STANDARD,2025,05
V024CF0116,EV3_LONGRANGE,2025,03
V009CG0038,EV4_LONGRANGE,2025,05
V021CF0096,EV6_LONGRANGE,2022,07
V026CF0140,EV6_LONGRANGE,2023,05
V026CF0141,EV6_LONGRANGE,2022,07
V002CG0007,KONA_LONGRANGE,2018,11
V024CF0129,KONA_LONGRANGE,2021,04
V022CF0107,GV70,2025,06
V002CG0010,GV70,2022,11
V023CF0114,NIRO_PLUS,2023,01
V027CF0156,SOUL_LONGRANGE,2019,06
V028CF0166,BONGO3,2023,06
V002CG0009,EV4_LONGRANGE,2025,06
V005CG0025,EV6_LONGRANGE,2022,11
V007CG0030,EV6_LONGRANGE,2025,06
V021CF0097,EV6_LONGRANGE,2023,07
V026CF0144,EV6_LONGRANGE,2022,08
V026CF0143,EV9,2024,04
V024CF0134,IONIQ5_LONGRANGE,2021,10
V009CG0037,IONIQ5_LONGRANGE,2022,10
V010CG0040,IONIQ5_LONGRANGE,2021,05
V007CG0021,IONIQ9,2025,03
V018CF0075,IONIQ,2018,10
V020CF0090,IONIQ,2017,08
V016CF0065,KONA_LONGRANGE,2018,10
V027CF0162,KONA_LONGRANGE,2018,07
V030CF0179,KONA_LONGRANGE,2018,10
V027CF0164,BONGO3,2024,07
V008CG0033,PORTER2,2021,11
V020CF0092,PORTER2,2022,05
V018CF0080,NIRO_LONGRANGE,2021,06
V018CF0078,CASPER_LONGRANGE,2024,10
V005CH0003,IONIQ5_LONGRANGE,2021,05
V020CE0035,IONIQ5_LONGRANGE,2021,12
V000BI0009,IONIQ5_LONGRANGE,2022,09
V017CF0069,IONIQ5_N,2024,09
V021CE0043,IONIQ6_LONGRANGE,2022,10
V010CF0015,EV3_STANDARD,2025,03
V008CG0031,EV4_LONGRANGE,2025,06
V027CH0046,EV6_LONGRANGE,2021,11
V016CH0022,EV6_LONGRANGE,2021,12
V016CF0063,EV9,2023,12
V000CD0101,ST1,2024,06
V026CH0041,ST1,2025,05
V000CD0055,ST1,2025,06
V002CG0011,THE_NEW_IONIQ5_STANDARD,2025,02
V011CI0025,THE_NEW_IONIQ5_LONGRANGE,2024,07
V004CF0003,NIRO_LONGRANGE,2019,07
V027CH0043,NIRO_LONGRANGE,2020,03
V003CI0005,KONA_LONGRANGE,2019,07
V013CF0043,KONA_LONGRANGE,2020,03
V03CE0037,TESLA_MODEL3_LONGRANGE,2025,01
V005CI0012,IONIQ5_LONGRANGE,2025,05
V005CG0026,IONIQ5_LONGRANGE,2021,06
V014CI0029,IONIQ5_LONGRANGE,2022,03
V020CE0039,IONIQ5_LONGRANGE,2022,07
V013CF0041,IONIQ5_LONGRANGE,2022,10
V014CF0047,IONIQ5_LONGRANGE,2022,02
V009CF0014,THE_NEW_IONIQ5_LONGRANGE,2025,03
V000CD0012,EV3_LONGRANGE,2024,09
V015CF0055,EV3_LONGRANGE,2024,07
V000CC0002,EV6_LONGRANGE,2023,12
V000CD0014,EV6_LONGRANGE,2022,05
V016CH0023,EV6_LONGRANGE,2022,01
V014CF0048,EV6_LONGRANGE,2021,10
V012CF0033,CASPER_LONGRANGE,2024,10
V027CH0047,CASPER_STANDARD,2024,11
V000CB0002,GV60,2023,04
V021CE0046,GV70,2022,06
V000CD0015,PORTER2,2021,03
V000CD0038,ST1,2024,11
V005CF0006,IONIQ5_LONGRANGE,2021,08
V004CJ0010,IONIQ5_LONGRANGE,2022,03
V000CE0028,IONIQ5_LONGRANGE,2022,02
V000CC0043,IONIQ5_LONGRANGE,2021,10
V000CA0046,IONIQ5_LONGRANGE,2021,10
V000CA0033,IONIQ,2020,08
V009CH0009,EV3_LONGRANGE,2025,03
V000CC0037,EV3_LONGRANGE,2025,02
V008CH0005,EV6_LONGRANGE,2022,08
V002CJ0007,EV6_LONGRANGE,2021,08
V002CJ0008,EV6_LONGRANGE,2022,05
V000CE0003,EV9,2025,04
V000CB0084,EV9,2023,12
V000CC0010,CASPER_LONGRANGE,2025,02
V003CG0019,CASPER_LONGRANGE,2024,10
V000CC0031,NIRO2,2022,09
V013CF0038,KONA_LONGRANGE,2023,08
V009CJ0013,GV60,2023,04
V001CJ0004,ST1,2025,07
V03CD0101,IONIQ,2025,01
V03CD0104,IONIQ,2025,01
V03CD0105,IONIQ,2025,01
V03CD0107,IONIQ,2025,01
V03CD0115,IONIQ,2025,01
V03CD0116,IONIQ,2025,01
V03CD0118,IONIQ,2025,01
V03CD0119,IONIQ,2025,01
V03CD0134,IONIQ,2025,01
V03CD0070,IONIQ5,2025,01
V027CF0158,IONIQ5_N,2025,06
V03CD0071,IONIQ5_LONGRANGE,2025,01
V03CD0077,IONIQ5_LONGRANGE,2025,01
V03CD0114,IONIQ5_LONGRANGE,2025,01
V03CD0126,IONIQ5_LONGRANGE,2025,01
V03CD0130,IONIQ5_LONGRANGE,2025,01
V03CD0131,IONIQ5_LONGRANGE,2025,01
V020CE0040,THE_NEW_IONIQ5_LONGRANGE,2025,03
V03CD0076,THE_NEW_IONIQ5_LONGRANGE,2025,01
V015CF0054,IONIQ6_STANDARD,2024,10
V03CF0022,IONIQ9,2025,01
V03CF0021,NIRO_PLUS,2025,01
V03CD0074,NIRO_PLUS,2025,01
V03CD0084,NIRO_PLUS,2025,01
V03CD0087,NIRO_PLUS,2025,01
V03CD0098,NIRO_PLUS,2025,01
V03CD0099,NIRO_PLUS,2025,01
V03CD0100,NIRO_PLUS,2025,01
V03CD0102,NIRO_PLUS,2025,01
V03CD0103,NIRO_PLUS,2025,01
V03CD0128,NIRO_PLUS,2025,01
V03CD0136,NIRO_PLUS,2025,01
V030CH0049,NIRO_LONGRANGE,2021,04
V03CD0075,NIRO_LONGRANGE,2025,01
